 First iteration    2536.4628724250661             1155   2.1960717510173731     
After minimisation    2536.46  1155     2.196

  Partial chi2s 
Dataset    1    801.75(+24.74)   377  HERA1+2 NCep 920                                
Dataset    2     89.85( +4.53)    70  HERA1+2 NCep 820                                
Dataset    3    287.35(+14.23)   254  HERA1+2 NCep 575                                
Dataset    4    267.33( +8.71)   204  HERA1+2 NCep 460                                
Dataset    5    298.79( +0.01)   159  HERA1+2 NCem                                    
Dataset    6     49.18( +0.02)    39  HERA1+2 CCep                                    
Dataset    7     66.86( -2.36)    42  HERA1+2 CCem                                    
Dataset    8     10.69( +0.66)     8  ATLAS low mass DY 2011                          
Dataset    9    159.24( -5.21)    14  ATLAS 8 TeV $W^+$ +jets $W_{p_T}$               

 Correlated Chi2    460.09571106390439     
 Log penalty Chi2    45.314693205245376     
 Systematic shifts          233
  
                                Name          Shift   +/-    Error          Type
   12  sysHZComb1012                          0.5087   +/-   0.9721        :N:M:D
   13  sysHZComb1013                         -0.6331   +/-   0.9620        :N:M:D
   14  sysHZComb1014                         -0.0285   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.2106   +/-   0.9633        :N:M:D
   16  sysHZComb1016                         -0.0787   +/-   0.9748        :N:M:D
   17  sysHZComb1017                         -0.3264   +/-   0.9710        :N:M:D
   18  sysHZComb1018                          0.1739   +/-   0.8228        :N:M:D
   19  sysHZComb1019                         -0.3392   +/-   0.9837        :N:M:D
   20  sysHZComb1020                         -0.3582   +/-   0.9814        :N:M:D
   21  sysHZComb1021                         -0.0936   +/-   0.9744        :N:M:D
   22  sysHZComb1022                          0.0903   +/-   0.9687        :N:M:D
   23  sysHZComb1023                         -0.2180   +/-   0.9453        :N:M:D
   24  sysHZComb1024                         -0.0506   +/-   0.9879        :N:M:D
   25  sysHZComb1025                          0.1045   +/-   0.9933        :N:M:D
   26  sysHZComb1026                         -0.8577   +/-   0.9203        :N:M:D
   27  sysHZComb1027                         -1.1307   +/-   0.9544        :N:M:D
   28  sysHZComb1028                          0.8576   +/-   0.9750        :N:M:D
   29  sysHZComb1029                         -0.5817   +/-   0.9185        :N:M:D
   30  sysHZComb1030                         -0.4045   +/-   0.9438        :N:M:D
   31  sysHZComb1031                         -0.7012   +/-   0.8389        :N:M:D
   32  sysHZComb1032                          0.7957   +/-   0.9643        :N:M:D
   33  sysHZComb1033                          0.7259   +/-   0.9708        :N:M:D
   34  sysHZComb1034                         -0.3862   +/-   0.9840        :N:M:D
   35  sysHZComb1035                         -0.0160   +/-   0.9782        :N:M:D
   36  sysHZComb1036                         -0.7205   +/-   0.9743        :N:M:D
   37  sysHZComb1037                          0.4881   +/-   0.9702        :N:M:D
   38  sysHZComb1038                         -0.7368   +/-   0.9126        :N:M:D
   39  sysHZComb1039                         -0.5863   +/-   0.9535        :N:M:D
   40  sysHZComb1040                         -0.1589   +/-   0.9303        :N:M:D
