 First iteration    15461.481497209101             1132   13.658552559371998     
After minimisation   15461.48  1132    13.659

  Partial chi2s 
Dataset    1   5954.32(-59.22)   377  HERA1+2 NCep 920                                
Dataset    2    368.92(-14.61)    70  HERA1+2 NCep 820                                
Dataset    3    688.81(-55.13)   254  HERA1+2 NCep 575                                
Dataset    4   1114.41(-43.99)   204  HERA1+2 NCep 460                                
Dataset    5   2791.36( -7.71)   159  HERA1+2 NCem                                    
Dataset    6    286.53( +1.87)    39  HERA1+2 CCep                                    
Dataset    7    233.98( -1.73)    42  HERA1+2 CCem                                    

 Correlated Chi2    4203.6582013596380     
 Log penalty Chi2   -180.50887527955862     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
   32  sysHZComb1032                          0.7057   +/-   0.9642        :N:M:D
   33  sysHZComb1033                          0.8183   +/-   0.9708        :N:M:D
   34  sysHZComb1034                         -0.4532   +/-   0.9840        :N:M:D
   35  sysHZComb1035                         -0.0391   +/-   0.9781        :N:M:D
   36  sysHZComb1036                         -0.6302   +/-   0.9742        :N:M:D
   37  sysHZComb1037                          0.5175   +/-   0.9702        :N:M:D
   38  sysHZComb1038                         -0.5834   +/-   0.9125        :N:M:D
   39  sysHZComb1039                         -0.6129   +/-   0.9534        :N:M:D
   40  sysHZComb1040                         -0.0630   +/-   0.9301        :N:M:D
   41  sysHZComb1041                         -0.5723   +/-   0.8120        :N:M:D
   42  sysHZComb1042                         -0.1235   +/-   0.8742        :N:M:D
   43  sysHZComb1043                          0.1206   +/-   0.9095        :N:M:D
   44  sysHZComb1044                         -0.0526   +/-   0.9367        :N:M:D
   45  sysHZComb1045                         -0.4865   +/-   0.9309        :N:M:D
   46  sysHZComb1046                         -0.1075   +/-   0.9568        :N:M:D
   47  sysHZComb1047                          0.2766   +/-   0.9468        :N:M:D
   48  sysHZComb1048                          0.0238   +/-   0.9609        :N:M:D
   49  sysHZComb1049                         -0.6399   +/-   0.9458        :N:M:D
   50  sysHZComb1050                          0.5019   +/-   0.9429        :N:M:D
   51  sysHZComb1051                          0.4514   +/-   0.9523        :N:M:D
   52  sysHZComb1052                          0.9076   +/-   0.9507        :N:M:D
   53  sysHZComb1053                         -2.8929   +/-   0.9190        :N:M:D
   54  sysHZComb1054                         -0.0641   +/-   0.9749        :N:M:D
   55  sysHZComb1055                         -1.5064   +/-   0.9055        :N:M:D
   56  sysHZComb1056                         -1.5123   +/-   0.8903        :N:M:D
   57  sysHZComb1057                          0.1437   +/-   0.9193        :N:M:D
   58  sysHZComb1058                          0.1625   +/-   0.9432        :N:M:D
   59  sysHZComb1059                         -0.9791   +/-   0.8697        :N:M:D
   60  sysHZComb1060                          0.1542   +/-   0.9789        :N:M:D
   61  sysHZComb1061                          0.1020   +/-   0.9830        :N:M:D
   62  sysHZComb1062                         -1.3300   +/-   0.8947        :N:M:D
   63  sysHZComb1063                          0.7437   +/-   0.8362        :N:M:D
   64  sysHZComb1064                          0.6809   +/-   0.9293        :N:M:D
   65  sysHZComb1065                         -0.8376   +/-   0.9468        :N:M:D
   66  sysHZComb1066                         -0.7088   +/-   0.9319        :N:M:D
   67  sysHZComb1067                         -0.2910   +/-   0.9638        :N:M:D
   68  sysHZComb1068                         -0.3997   +/-   0.9199        :N:M:D
   69  sysHZComb1069                         -0.0349   +/-   0.9123        :N:M:D
   70  sysHZComb1070                          0.3353   +/-   0.9072        :N:M:D
   71  sysHZComb1071                         -1.2981   +/-   0.8572        :N:M:D
   72  sysHZComb1072                         -0.0712   +/-   0.9702        :N:M:D
   73  sysHZComb1073                         -0.1194   +/-   0.9035        :N:M:D
   74  sysHZComb1074                         -0.1694   +/-   0.9351        :N:M:D
   75  sysHZComb1075                         -0.0503   +/-   0.8650        :N:M:D
   76  sysHZComb1076                         -0.0134   +/-   0.9605        :N:M:D
   77  sysHZComb1077                         -0.6423   +/-   0.9611        :N:M:D
   78  sysHZComb1078                         -0.0827   +/-   0.9756        :N:M:D
   79  sysHZComb1079                         -0.2463   +/-   0.8841        :N:M:D
   80  sysHZComb1080                         -0.5307   +/-   0.9248        :N:M:D
   81  sysHZComb1081                         -0.1107   +/-   0.8871        :N:M:D
   82  sysHZComb1082                         -0.8041   +/-   0.8380        :N:M:D
   83  sysHZComb1083                         -1.3608   +/-   0.8901        :N:M:D
   84  sysHZComb1084                          0.2993   +/-   0.9683        :N:M:D
